Station,Date,tre200s0,rre150z0_x,sre000z0,gre000z0,ure200s0,tde200s0,dkl010z0,fu3010z0,fu3010z1,prestas0,pp0qffs0,pp0qnhs0,ppz850s0,ppz700s0,dv1towz0,fu3towz0,fu3towz1,ta1tows0,uretows0,tdetows0,Kanton,Niederschlag
WFJ,2024-03-07 12:50,-5.80,0.00,10.00,696.00,89.20,-7.30,198.00,10.40,16.20,729.80,-,1012.10,-,2999.50,-,-,-,-,-,-,GR,
WYN,2024-03-07 12:50,5.40,0.00,0.00,70.00,79.40,2.10,77.00,6.10,9.00,968.00,1019.20,1018.10,-,-,-,-,-,-,-,-,BE,
WAE,2024-03-07 12:50,5.70,0.00,0.00,178.00,77.20,2.00,3.00,6.80,13.30,960.30,1018.80,1017.60,-,-,-,-,-,-,-,-,ZH,
PSI,2024-03-07 12:50,6.90,0.00,0.00,186.00,70.50,1.90,-,-,-,978.60,1019.20,1018.40,-,-,55.00,11.20,18.40,-,-,-,AG,
ZER,2024-03-07 12:50,4.30,0.00,10.00,681.00,33.00,-10.50,66.00,5.40,9.00,831.60,-,1013.80,1461.00,-,-,-,-,-,-,-,VS,
REH,2024-03-07 12:50,5.40,0.00,0.00,133.00,76.40,1.60,52.00,9.40,18.00,965.50,1019.20,1018.00,-,-,-,-,-,-,-,-,ZH,
SMA,2024-03-07 12:50,4.30,0.00,0.00,88.00,80.30,1.20,64.00,4.00,11.90,952.10,1019.10,1017.50,-,-,-,-,-,2.20,88.90,0.60,ZH,
KLO,2024-03-07 12:50,5.80,0.00,0.00,137.00,75.70,1.80,72.00,11.50,17.30,967.50,1019.10,1018.00,-,-,-,-,-,-,-,-,ZH,
PFA,2024-03-07 12:50,4.60,0.00,0.00,120.00,85.70,2.40,62.00,10.40,18.40,954.30,1019.00,1017.50,-,-,-,-,-,-,-,-,ZH,
AGATT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
AGSTE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
AIE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
AIR,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TI,0.00
ALS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
AMW,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TG,-
APP,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AI,0.00
AUB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VD,0.00
AVA,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VD,0.00
BAW,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
BEC,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
BEP,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
BEX,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VD,0.00
BEY,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
BLZ,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TI,0.00
BOS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TI,0.00
BRI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
BRP,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
BRT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,UR,0.00
BRW,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GL,0.00
COL,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TI,0.00
COS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VD,0.00
COU,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,NE,0.00
CTO,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TI,0.00
DIT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
DOB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
EGR,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
ENT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,LU,0.00
ESZ,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TG,0.00
FAI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TI,0.00
FIO,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
FIT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
FLW,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
GOA,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,UR,0.00
GSG,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,-
GTT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
HUT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
INN,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SZ,0.00
JON,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
KAI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
KAS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
KIE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
KIS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,-
KLA,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
LAB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BL,0.00
LEU,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
LOH,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SH,0.00
LON,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VD,0.00
LSN,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VD,0.00
LTB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
MAB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
MAL,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,FL,0.00
MAT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
MEV,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,JU,0.00
MGL,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
MMO,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,JU,0.00
MSG,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,TI,0.00
MUR,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
NEB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SO,0.00
OBI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SZ,0.00
OED,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
OPF,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
ORS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
REM,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SZ,0.00
ROG,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SZ,0.00
ROM,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,FR,0.00
ROT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
SAI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,JU,0.00
SAN,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
SAP,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
SAX,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,-
SIE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SZ,0.00
SIH,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZG,0.00
SOG,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
STB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
STP,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,OW,0.00
SUA,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,FL,0.00
SUS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
SVG,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
THS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
TRU,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
TST,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
UBB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
UNK,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
URN,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AR,0.00
VAE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
VRI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
VSANZ,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSARO,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,-
VSBAS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSBRI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSBRU,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSBSP,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSCHO,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSCHY,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSCLU,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSCOL,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSDER,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSDUR,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSEMO,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSERG,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSFIN,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSFLY,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSGDX,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSISE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSJEI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSMAT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSMOI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSNEN,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSOXE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,,-
VSSAB,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSSAL,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSSFE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,-
VSSIE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSSOR,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,-
VSSTA,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VST,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,FR,0.00
VSTRI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSTSN,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSTUR,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSVER,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
VSVIS,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,VS,0.00
WAG,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
WAR,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
WEE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SG,0.00
WHF,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,SO,0.00
WIN,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
WIT,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,0.00
ZEV,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,GR,0.00
ZWE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
ZWK,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
AFI,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
LAP,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
HIW,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
UST,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
KUE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
ABE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
BUE,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
LGA,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,ZH,0.00
SNG,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,AG,-
GAD,2024-03-07 12:50,,,,,,,,,,,,,,,,,,,,,BE,0.00
